id,category,text
normal_p1_001,normal,おっほっほ！きょうもがんばったね！それはうれしいおしらせだ！1ポイントプレゼントだよ！
normal_p1_002,normal,わあ、すてきだね！よくできたね、えらいぞ！またおはなしをきかせてね！1ポイントプレゼントだよ！
normal_p1_003,normal,それはうれしいおしらせだ！がんばりをきけてサンタもうれしいよ！そのちょうしだよ！1ポイントプレゼントだよ！
normal_p1_004,normal,おっほっほ！きょうもとってもいいかんじだね！サンタはいつでもみかただよ！1ポイントプレゼントだよ！
normal_p1_005,normal,わあ、すてきだね！きょうもがんばったね！これからもいっしょにがんばろうね！1ポイントプレゼントだよ！
normal_p1_006,normal,それはうれしいおしらせだ！よくできたね、えらいぞ！きみのできたはとってもすてきだよ！1ポイントプレゼントだよ！
normal_p1_007,normal,おっほっほ！がんばりをきけてサンタもうれしいよ！またおはなしをきかせてね！1ポイントプレゼントだよ！
normal_p1_008,normal,わあ、すてきだね！そのちょうしだよ！サンタはいつでもみかただよ！1ポイントプレゼントだよ！
normal_p1_009,normal,それはうれしいおしらせだ！きょうもがんばったね！これからもいっしょにがんばろうね！1ポイントプレゼントだよ！
normal_p1_010,normal,おっほっほ！よくできたね、えらいぞ！きみのできたはとってもすてきだよ！1ポイントプレゼントだよ！
normal_p2_001,normal,おっほっほ！きょうもがんばったね！それはうれしいおしらせだ！きょうは2ポイントをどうぞ！
normal_p2_002,normal,わあ、すてきだね！よくできたね、えらいぞ！またおはなしをきかせてね！きょうは2ポイントをどうぞ！
normal_p2_003,normal,それはうれしいおしらせだ！がんばりをきけてサンタもうれしいよ！そのちょうしだよ！きょうは2ポイントをどうぞ！
normal_p2_004,normal,おっほっほ！きょうもとってもいいかんじだね！サンタはいつでもみかただよ！きょうは2ポイントをどうぞ！
normal_p2_005,normal,わあ、すてきだね！きょうもがんばったね！これからもいっしょにがんばろうね！きょうは2ポイントをどうぞ！
normal_p2_006,normal,それはうれしいおしらせだ！よくできたね、えらいぞ！きみのできたはとってもすてきだよ！きょうは2ポイントをどうぞ！
normal_p2_007,normal,おっほっほ！がんばりをきけてサンタもうれしいよ！またおはなしをきかせてね！きょうは2ポイントをどうぞ！
normal_p2_008,normal,わあ、すてきだね！そのちょうしだよ！サンタはいつでもみかただよ！きょうは2ポイントをどうぞ！
normal_p2_009,normal,それはうれしいおしらせだ！きょうもがんばったね！これからもいっしょにがんばろうね！きょうは2ポイントをどうぞ！
normal_p2_010,normal,おっほっほ！よくできたね、えらいぞ！きみのできたはとってもすてきだよ！きょうは2ポイントをどうぞ！
normal_p3_001,normal,おっほっほ！きょうもがんばったね！それはうれしいおしらせだ！3ポイントをサンタからおくるね！
normal_p3_002,normal,わあ、すてきだね！よくできたね、えらいぞ！またおはなしをきかせてね！3ポイントをサンタからおくるね！
normal_p3_003,normal,それはうれしいおしらせだ！がんばりをきけてサンタもうれしいよ！そのちょうしだよ！3ポイントをサンタからおくるね！
normal_p3_004,normal,おっほっほ！きょうもとってもいいかんじだね！サンタはいつでもみかただよ！3ポイントをサンタからおくるね！
normal_p3_005,normal,わあ、すてきだね！きょうもがんばったね！これからもいっしょにがんばろうね！3ポイントをサンタからおくるね！
normal_p3_006,normal,それはうれしいおしらせだ！よくできたね、えらいぞ！きみのできたはとってもすてきだよ！3ポイントをサンタからおくるね！
normal_p3_007,normal,おっほっほ！がんばりをきけてサンタもうれしいよ！またおはなしをきかせてね！3ポイントをサンタからおくるね！
normal_p3_008,normal,わあ、すてきだね！そのちょうしだよ！サンタはいつでもみかただよ！3ポイントをサンタからおくるね！
normal_p3_009,normal,それはうれしいおしらせだ！きょうもがんばったね！これからもいっしょにがんばろうね！3ポイントをサンタからおくるね！
normal_p3_010,normal,おっほっほ！よくできたね、えらいぞ！きみのできたはとってもすてきだよ！3ポイントをサンタからおくるね！
wish_001,wishlist,わかったよ！ほしいものに追加しておぼえておくね！おっほっほ！
wish_002,wishlist,いいね！ほしいものリストにしっかりのせたよ！
wish_003,wishlist,ちゃんとメモしたよ！サンタにまかせてね！
wish_004,wishlist,それはすてきなねがいごとだね！ほしいものに追加しておくよ！
wish_005,wishlist,うんうん、しっかりきいたよ！ほしいものリストにいれておくね！
wish_006,wishlist,ありがとう！ほしいものに追加して、サンタがおぼえておくよ！
greeting_001,greeting,おっほっほ！きょうもきてくれてありがとう！なんでもおしえてね！
greeting_002,greeting,こんにちは！サンタはきみのおはなしをきけるのがたのしみだよ！
greeting_003,greeting,わあ、あえてうれしいよ！きょうのことをきかせてね！
greeting_004,greeting,よくきてくれたね！サンタといっしょにたのしくおはなししよう！
